EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
3 2155 244 1 2
6 2599 247 12 4
2 28080 314 20 8
7 2381 246 11 2
5 2063 301 11 2
5 2394 252 180 3
6 1995 244 1 5
6 2230 246 11 2
6 2007 246 12 2
4 2225 245 11 2
5 2105 245 13 2
3 27937 374 25 10
6 24536 280 14 7
4 21559 273 15 11
9 9924 251 12 2
4 4782 246 11 2
6 2481 249 2 2
7 4781 250 1 2
14 2359 246 11 2
7 22134 302 19 23
13 6862 250 12 3
4 1955 246 1 2
4 2234 242 1 2
5 4828 248 11 2
4 2292 259 1 2
4 2216 245 1 2
7 33175 328 1 24
5 25251 329 1 7
5 24864 317 1 6
9 5999 254 24 4
5 1980 256 1 2
5 2541 246 1 2
3 2073 246 1 1
4 24501 301 1 7
4 2209 247 1 2
3 2108 247 1 1
4 2102 246 1 2
3 2017 245 1 2
4 1868 245 1 2
4 1954 244 1 2
3 2234 249 1 4
4 2188 248 1 2
4 2214 245 1 2
5 24130 312 23 7
5 2763 249 1 3
5 2156 251 1 2
4 2290 246 1 2
8 1924 246 1 2
5 1889 250 1 2
5 4500 248 1 2
4 4024 246 1 1
5 3815 250 1 2
9 4329 250 1 2
5 2505 247 1 2
4 1932 246 1 1
4 2094 251 1 1
7 6410 253 1 2
7 2603 250 1 3
7 2491 248 1 3
6 2216 247 1 4
5 2118 244 1 1
4 2561 250 1 2
6 22859 303 1 7
9 1976 250 1 2
7 2349 249 1 2
7 7679 275 1 3
3 2586 255 1 2
6 3241 248 1 2
6 3232 252 1 2
4 2778 251 1 3
5 27849 338 1 13
5 4222 252 1 2
8 4856 257 1 3
5 3623 251 1 2
8 25529 329 2 8
5 2450 254 1 2
8 4080 249 1 2
11 2372 254 1 2
9 27736 326 1 16
4 5156 259 1 3
4 2626 249 1 2
9 2577 252 1 2
5 2338 251 1 2
5 1966 248 1 2
5 2161 248 1 1
3 4874 250 1 3
5 25457 342 1 10
4 2522 252 1 2
4 2646 250 1 2
4 2113 250 1 2
10 26003 334 1 9
5 2517 250 1 2
13 24316 344 1 8
4 2630 253 1 2
11 3770 252 1 3
9 24501 338 1 7
3 3995 264 2 4
12 3284 255 1 2
4 2431 249 1 2
3 3298 255 1 3
