EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
4 652 112 0 1
4 644 113 1 1
4 661 111 0 1
4 658 112 1 1
4 644 113 1 1
5 647 112 0 1
4 684 111 1 1
4 642 111 1 1
4 655 112 1 1
4 634 112 1 1
5 688 113 1 1
4 666 113 1 1
4 656 112 1 1
5 648 112 1 1
4 658 113 1 1
4 652 113 1 1
5 656 112 0 1
4 644 113 1 1
4 660 113 0 1
4 658 113 1 1
4 643 114 0 1
5 673 120 1 1
4 699 116 1 1
4 655 117 1 1
4 684 117 1 1
5 674 114 1 1
4 688 113 1 1
5 663 115 1 1
4 659 113 1 1
4 1563 115 3 5
5 736 115 1 1
7 652 113 1 1
4 650 113 1 1
7 651 113 0 1
4 657 114 0 1
5 682 114 1 1
4 643 113 1 1
4 643 113 0 1
4 680 113 0 1
4 663 113 1 1
4 645 113 0 1
4 658 116 1 1
4 657 113 1 1
5 655 113 1 1
4 648 113 1 5
4 698 113 1 1
4 655 114 0 1
4 648 113 0 1
4 645 112 0 1
55 853 113 1 5
4 657 113 0 1
4 658 113 1 1
4 685 114 1 1
4 654 113 1 1
4 708 113 1 1
4 677 113 1 1
4 643 113 1 1
4 656 114 1 1
10 684 114 1 1
4 659 114 1 1
4 659 113 1 1
4 660 114 1 1
4 664 113 1 1
4 660 114 1 2
4 650 114 0 1
4 674 116 1 1
4 660 114 0 1
4 649 113 1 1
4 679 114 1 1
4 710 114 1 1
4 653 114 0 1
4 648 113 0 1
4 651 114 0 1
4 677 113 1 1
4 654 113 0 1
4 691 114 1 1
4 645 114 0 1
4 644 114 0 1
42 573 115 0 1
4 631 113 0 1
4 616 114 1 1
4 625 113 1 1
4 662 113 1 1
4 804 114 1 1
4 637 114 1 1
4 660 132 1 1
4 642 114 0 1
4 644 113 1 1
4 627 114 0 1
4 661 115 1 1
4 636 114 1 1
4 633 115 1 1
4 629 116 0 1
4 679 117 1 1
4 702 114 1 1
4 959 115 1 2
4 657 115 1 1
4 660 114 1 1
5 636 115 1 1
4 644 115 0 1
5 628 114 1 1
4 660 113 1 1
4 639 115 1 1
4 641 114 0 1
4 641 114 1 1
4 650 137 0 1
4 654 114 1 1
4 635 115 0 1
4 637 114 1 1
4 636 114 1 1
4 663 119 1 1
4 632 115 0 1
4 629 114 0 1
4 633 117 0 1
4 634 115 0 1
4 635 114 0 1
4 655 114 1 1
4 672 114 1 1
4 655 127 1 1
6 1310 119 2 3
4 677 121 1 1
4 656 114 1 1
4 629 113 1 1
4 632 114 1 1
5 629 114 1 1
4 648 165 1 1
4 898 210 1 2
7 764 117 0 1
5 650 116 1 1
4 686 117 1 1
4 688 116 1 1
4 647 116 1 1
4 646 117 1 1
4 660 116 1 1
4 648 119 0 1
4 674 116 0 1
4 648 116 1 1
4 647 116 0 1
4 645 122 1 1
4 644 119 1 1
4 650 116 1 1
4 701 117 1 1
4 648 117 0 1
4 659 116 1 1
4 646 116 1 1
4 674 117 1 1
4 666 118 1 1
4 643 116 1 1
4 663 115 1 1
4 655 119 1 1
4 654 116 1 1
4 684 117 1 1
4 670 116 1 1
4 647 119 0 1
4 649 119 0 1
4 672 118 1 1
4 657 116 0 1
4 645 117 1 1
4 647 116 0 1
4 655 120 1 1
3 667 117 1 1
4 656 115 1 1
4 684 117 1 1
3 705 123 1 1
4 700 118 1 1
4 680 117 1 1
4 692 118 1 1
4 672 116 1 1
4 667 116 1 1
4 1578 123 2 5
4 687 118 1 1
4 650 117 1 1
4 690 137 1 1
4 691 117 1 1
6 671 117 1 1
4 658 116 1 1
4 639 117 0 1
4 645 117 1 1
4 659 117 1 1
4 673 118 0 1
4 644 120 1 1
4 647 117 1 1
4 678 118 0 1
4 678 118 1 1
4 645 118 1 1
4 650 117 1 1
4 650 117 0 1
4 658 117 1 1
4 655 117 1 1
4 650 117 1 1
11 646 118 1 1
4 667 117 1 1
4 694 117 1 1
4 689 127 1 1
4 684 118 1 1
4 697 117 1 1
4 655 118 1 1
4 651 118 1 1
4 672 118 1 1
4 687 117 1 1
4 666 117 1 1
4 659 116 1 1
4 662 145 0 1
4 678 117 1 1
4 686 118 1 1
4 652 117 0 1
4 673 117 1 1
4 659 117 1 1
4 663 117 1 1
4 725 118 1 1
4 694 117 1 1
4 654 118 1 1
4 649 118 1 1
4 693 117 0 1
4 695 119 1 1
4 652 119 0 1
4 661 118 1 1
4 651 119 0 1
43 566 117 0 1
4 523 117 0 1
6 621 117 0 1
5 622 118 1 1
5 665 118 1 1
6 834 119 1 1
5 658 118 0 1
6 634 120 1 1
6 645 118 1 1
5 648 119 1 1
5 667 120 1 1
6 639 119 1 1
6 670 120 1 1
5 636 120 1 1
6 640 120 0 1
4 642 120 1 1
6 693 119 1 1
6 1119 163 2 4
10 713 123 1 1
6 685 117 1 1
5 652 117 1 1
6 637 122 1 1
5 657 118 1 1
7 657 118 1 1
6 639 118 1 1
6 646 117 1 1
6 800 148 1 1
